area,int_sqft,n_bedroom,n_bathroom,n_room,park_facil,utility_avail,street,mzzone,sales_price,house_age,buildtype_Commercial,buildtype_House,buildtype_Others
0,1004,1,1,3,1,2,1,0,7600000,44,1,0,0
5,1986,2,1,5,0,2,2,3,21717770,11,1,0,0
1,909,1,1,3,1,0,2,4,13159200,20,1,0,0
3,1855,3,2,5,0,1,1,2,9630290,22,0,0,1
0,1226,1,1,3,1,2,2,1,7406250,30,0,0,1
2,1220,2,1,4,0,1,0,3,12394750,5,1,0,0
2,1167,1,1,3,0,2,0,4,8488790,28,0,0,1
3,1847,3,2,5,0,2,2,5,16800250,10,1,0,0
2,771,1,1,2,0,1,1,5,8308970,34,0,0,1
3,1635,2,1,4,0,0,0,2,8083650,15,0,0,1
2,1203,2,1,4,1,2,0,5,14938000,28,1,0,0
2,1054,1,1,3,0,1,2,5,9449730,37,0,0,1
2,1196,1,1,3,0,1,0,4,8774370,19,0,0,1
1,1056,1,1,3,1,1,1,3,9386490,26,0,0,1
3,1865,3,2,5,0,1,1,5,15499680,54,1,0,0
3,1868,3,2,5,0,1,2,3,15714080,9,1,0,0
0,1639,2,2,4,1,0,2,2,8656000,18,0,1,0
2,796,1,1,2,1,2,0,4,10912550,36,1,0,0
1,1136,1,1,3,1,2,1,0,8287550,30,0,0,1
5,1902,2,1,5,1,0,1,4,21203240,42,1,0,0
2,1069,1,1,3,1,1,1,5,10905530,4,0,0,1
2,931,1,1,3,1,0,1,4,9185970,22,0,0,1
4,2010,3,2,5,0,1,2,3,10925400,10,0,0,1
2,1074,1,1,3,0,1,2,4,9627380,16,0,0,1
6,1972,2,1,5,0,1,0,3,13922760,5,0,0,1
6,1685,1,1,4,0,1,2,5,12601080,34,0,1,0
1,1130,1,1,3,1,0,1,3,13383350,30,1,0,0
0,1301,1,1,3,1,1,2,1,7939625,7,0,0,1
1,730,1,1,2,1,0,2,4,8848285,39,0,1,0
6,1806,2,1,5,0,1,1,3,11338200,35,0,1,0
5,1981,2,1,5,0,0,0,4,12872430,9,0,1,0
1,868,1,1,3,0,1,2,4,9042050,10,0,0,1
6,1721,1,1,4,1,0,1,5,14874380,20,0,0,1
3,1755,2,1,4,1,2,2,0,10222380,19,0,0,1
5,1709,1,1,4,0,1,2,3,12928590,6,0,0,1
4,2114,3,2,5,1,1,2,3,17564820,21,1,0,0
0,1226,1,1,3,0,2,1,0,4971250,27,0,1,0
3,1648,2,1,4,1,1,1,1,9170660,13,0,0,1
2,856,1,1,3,1,1,2,5,10383420,26,0,0,1
1,904,1,1,3,0,0,0,5,11601400,40,1,0,0
2,1198,1,1,3,0,2,0,3,8249260,36,0,0,1
0,931,1,1,3,0,2,1,0,6944500,18,1,0,0
0,1290,1,1,3,1,2,1,3,7745000,48,0,1,0
0,507,1,1,2,1,0,2,3,5728000,46,0,1,0
4,2492,4,2,6,0,1,1,4,18725520,16,1,0,0
0,851,1,1,2,0,2,0,1,3572250,29,0,1,0
6,1882,2,1,5,1,0,2,5,16051580,21,0,0,1
5,1710,1,1,4,1,2,2,3,20215970,11,1,0,0
0,1412,2,2,4,0,0,2,4,8379000,28,0,1,0
1,779,1,1,2,0,1,0,1,5290635,9,0,1,0
6,1655,1,1,4,0,2,2,3,12548930,34,0,0,1
0,940,1,1,3,0,2,1,3,5857750,49,0,1,0
4,1667,2,1,4,1,1,1,5,10729700,5,0,1,0
4,1926,3,2,5,1,1,1,5,17006780,9,1,0,0
1,718,1,1,2,1,0,0,1,5570050,30,0,0,1
0,545,1,1,2,0,0,0,3,3854375,30,0,0,1
0,1249,1,1,3,1,0,2,3,8594875,36,0,0,1
6,1894,2,1,5,1,1,2,4,13549250,45,0,1,0
0,1469,2,2,4,0,1,0,1,9480750,5,1,0,0
1,916,1,1,3,1,0,0,0,5847520,28,0,1,0
2,934,1,1,3,1,1,1,5,9710900,22,0,1,0
0,1691,2,2,4,0,1,2,5,9398750,31,0,1,0
0,1236,1,1,3,0,1,1,2,8806250,39,1,0,0
6,1577,1,1,4,1,1,1,3,12087330,36,0,0,1
5,1915,2,1,5,1,1,2,3,14175620,41,0,0,1
5,1600,1,1,4,1,0,2,3,11920820,21,0,1,0
3,1579,2,1,4,1,0,1,2,13364730,24,1,0,0
1,1260,2,2,4,0,1,0,0,6922975,25,0,0,1
1,1021,1,1,3,0,1,1,2,11673175,5,1,0,0
4,2174,3,2,5,1,2,1,5,13069740,23,0,0,1
5,1589,1,1,4,0,2,2,4,12212350,44,0,0,1
1,668,1,1,2,1,1,2,2,10283575,5,1,0,0
3,1724,2,1,4,1,0,0,4,8956480,54,0,1,0
1,890,1,1,3,1,1,1,1,7187350,30,0,1,0
1,1218,2,2,4,0,2,0,2,12574850,30,1,0,0
5,1792,1,1,4,1,0,2,5,13906270,21,0,1,0
0,1378,2,2,4,0,1,2,5,9917500,9,0,0,1
0,898,1,1,3,1,1,1,3,8629750,29,1,0,0
5,1928,2,1,5,0,2,0,3,11667050,10,0,1,0
2,1233,2,1,4,0,1,2,5,9817150,33,0,1,0
3,1618,2,1,4,1,1,1,1,9263050,40,0,0,1
0,627,1,1,2,0,1,2,5,6587500,28,0,1,0
